Customer_ID,First_Name,Last_Name,Address,Last_Purchase_ID,Phone_Number
10015,Aaron,Bergman...,"73120, Oklahoma, Oklahoma City",FUR-BO-10003966,024/639/8512
10015,Aaron,Bergman...,"73120, Oklahoma, Oklahoma City",FUR-BO-10003966,024/639/8512
10030,Aaron,..Hawkins,"10035, New York, New York City",OFF-LA-10003148,322-684-8989
10030,Aaron,..Hawkins,"10035, New York, New York City",OFF-LA-10003148,322-684-8989
10045,Aaron,1122Smayling,"10035, New York, New York City",OFF-PA-10002709,541|386|7925
10045,Aaron,1122Smayling,"10035, New York, New York City",OFF-PA-10002709,541|386|7925
10060,Adam,//Bellavance,"10009, New York, New York City",OFF-BI-10002160,822-674-8901
10075,Adam,Hart,"10011, New York, New York City",OFF-BI-10003650,
10090,Adam,Shillingsburg,"10011, New York, New York City",FUR-BO-10003272,N/a
10105,Adrian,Barton...,"10011, New York, New York City",OFF-ST-10003994,
10120,Adrian,Hane,"40214, Kentucky, Louisville",OFF-BI-10002735,
10135,Adrian,Shami,"10035, New York, New York City",OFF-BI-10000404,N/a
10150,Aimee,..Bixby,"10701, New York, Yonkers",OFF-AR-10000588,822-674-8901
10165,Alan,Barnes,"37087, Tennessee, Lebanon",OFF-PA-10001033,368-271-4593
10180,Alan,//Dominguez,"10035, New York, New York City",OFF-AR-10004817,322-684-8989
10195,Alan,Haines,"10024, New York, New York City",OFF-BI-10000138,739-965-2287
10210,Alan,Hwang,"10024, New York, New York City",OFF-BI-10001031,483|214|6508
10225,Alan,Schoenberger,"10024, New York, New York City",FUR-FU-10002671,240-829-3742
10240,Alan,12Shonely,"19120, Pennsylvania, Philadelphia",OFF-AP-10003278,861|573|9825
10255,Alejandro,Ballentine,"10009, New York, New York City",OFF-PA-10003465,N/a
10270,Alejandro,Grove,"10011, New York, New York City",TEC-AC-10001314,107/952/0326
10285,Alejandro,Savely,"19134, Pennsylvania, Philadelphia",TEC-PH-10003187,987-425-0810
10300,Aleksandra,Gannaway...,"2038, Massachusetts, Franklin",FUR-BO-10002853,625|238|4707
10315,Alex,Avila,"10011, New York, New York City",FUR-FU-10002456,452-751-1971
10330,Alex,Grayson,"28205, North Carolina, Charlotte",OFF-AR-10001315,078/863/7123
10345,Alex,..Russell,"1841, Massachusetts, Lawrence",OFF-AR-10003338,816-342-5386
10360,Alice,McCarthy,"44105, Ohio, Cleveland",FUR-BO-10004709,
10375,Allen,Armold,"10035, New York, New York City",OFF-BI-10002498,335-017-2567
10390,Allen,//Goldenen,"10009, New York, New York City",OFF-LA-10001175,973|654|1030
10405,Allen,Rosenblatt,"10035, New York, New York City",OFF-PA-10003892,609-786-0294
10420,Alyssa,Crouse,"19120, Pennsylvania, Philadelphia",OFF-EN-10004386,N/a
10435,Alyssa,//Tate,"33319, Florida, Tamarac",OFF-BI-10003166,149/916/8734
10450,Amy,Cox,"10011, New York, New York City",OFF-BI-10001922,843-269-4978
10465,Amy,Hunt,"10035, New York, New York City",OFF-ST-10002214,
10480,Andrew,Allen,"28027, North Carolina, Concord",OFF-PA-10002365,307-535-2159
10495,Andrew,Gjertsen...,"19140, Pennsylvania, Philadelphia",OFF-LA-10002043,899|721|0432
10510,Andrew,..Roberts,"10024, New York, New York City",TEC-AC-10003280,
10525,Andy,1122Gerbode,"10011, New York, New York City",FUR-TA-10003569,423|253|9023
10540,Andy,//Reiter,"10024, New York, New York City",OFF-BI-10003708,180/804/6530
10555,Andy,Yotov,"19140, Pennsylvania, Philadelphia",OFF-AR-10002257,920-156-3873
10570,Anemone,Ratner,"31907, Georgia, Columbus",FUR-FU-10004848,647|075|6110
10585,Angele,Hood...,"33142, Florida, Miami",FUR-CH-10000155,N/a
10600,Ann,Blume,"28540, North Carolina, Jacksonville",FUR-FU-10001546,
10615,Ann,Chong,"10009, New York, New York City",FUR-CH-10003379,N/a
10630,Ann,..Steele,"19120, Pennsylvania, Philadelphia",OFF-FA-10000992,474-872-4364
10645,Anna,Andreadi,"1852, Massachusetts, Lowell",FUR-FU-10002268,541|386|7926
10660,Anna,//Chung,"44134, Ohio, Parma",FUR-CH-10003761,368-271-4594
10675,Anna,Gayman,"24153, Virginia, Salem",OFF-PA-10000249,024/639/8513
10690,Anna,H?berlin,"10024, New York, New York City",OFF-PA-10000474,739-965-2288
10705,Anne,McFarland,"24153, Virginia, Salem",FUR-BO-10003441,483|214|6509
10720,Anne,12Pryor,"10011, New York, New York City",FUR-TA-10001676,240-829-3743
10735,Annie,Thurman,"10009, New York, New York City",FUR-FU-10000308,861|573|9826
10750,Annie,Zypern,"10009, New York, New York City",FUR-CH-10002439,N/a
10765,Anthony,Garverick,"19120, Pennsylvania, Philadelphia",OFF-BI-10003712,107/952/0327
10780,Anthony,Jacobs...,"1915, Massachusetts, Beverly",OFF-AP-10002651,987-425-0811
10795,Anthony,Johnson,"10024, New York, New York City",OFF-BI-10004967,625|238|4708
10810,Anthony,O'Donnell,"90045, California, Los Angeles",FUR-TA-10004152,452-751-1972
10825,Anthony,..Rawles,"10009, New York, New York City",FUR-CH-10002780,078/863/7124
10840,Anthony,Witt,"19140, Pennsylvania, Philadelphia",FUR-FU-10004306,816-342-5387
10855,Arianne,Irving,"10035, New York, New York City",OFF-PA-10002947,
10870,Art,//Ferguson,"33030, Florida, Homestead",OFF-PA-10001977,335-017-2568
10885,Art,Foster,"19134, Pennsylvania, Philadelphia",FUR-BO-10004467,973|654|1031
10900,Arthur,Gainer,"19134, Pennsylvania, Philadelphia",OFF-LA-10003190,609-786-0295
10915,Arthur,//Prichep,"29730, South Carolina, Rock Hill",OFF-FA-10002763,N/a
10930,Arthur,Wiediger,"19143, Pennsylvania, Philadelphia",OFF-LA-10000134,149/916/8735
10945,Ashley,Jarboe,"28403, North Carolina, Wilmington",OFF-AR-10003560,843-269-4979
10960,Astrea,Jones,"10035, New York, New York City",OFF-AP-10004136,
10975,Barbara,Fisher,"10009, New York, New York City",OFF-AR-10004999,307-535-2160
10990,Barry,Blumstein,"43615, Ohio, Toledo",OFF-AP-10002287,899|721|0433
11005,Barry,Franz...,"77506, Texas, Pasadena",FUR-FU-10003691,
11020,Barry,..Franz?sisch,"10024, New York, New York City",TEC-MA-10004552,423|253|9024
11035,Barry,12Gonzalez,"22153, Virginia, Springfield",OFF-AR-10000246,180/804/6531
11050,Barry,//Pond,"2920, Rhode Island, Cranston",OFF-ST-10001837,920-156-3874
11065,Barry,Weirich,"10035, New York, New York City",OFF-PA-10001471,647|075|6111
11080,Bart,Folk,"10024, New York, New York City",OFF-LA-10000248,N/a
11095,Bart,Pistole...,"10024, New York, New York City",FUR-BO-10004015,
11110,Bart,Watters,"10024, New York, New York City",FUR-FU-10003535,N/a
11125,Becky,Castell,"10011, New York, New York City",FUR-CH-10000225,474-872-4365
11140,Becky,..Martin,"10024, New York, New York City",FUR-FU-10001602,541|386|7927
11155,Becky,Pak,"10011, New York, New York City",OFF-PA-10004438,368-271-4595
11170,Ben,//Ferrer,"1841, Massachusetts, Lawrence",FUR-TA-10003473,024/639/8514
11185,Ben,Peterman,"19120, Pennsylvania, Philadelphia",OFF-PA-10000528,739-965-2289
11200,Ben,Wallace,"10011, New York, New York City",FUR-CH-10000553,483|214|6510
11215,Benjamin,Farhat,"10035, New York, New York City",FUR-FU-10004091,240-829-3744
11230,Benjamin,1Patterson,"45373, Ohio, Troy",TEC-PH-10001530,861|573|9827
11245,Benjamin,Venier,"11572, New York, Oceanside",FUR-FU-10000629,N/a
11260,Berenike,Kampe,"10035, New York, New York City",OFF-PA-10001019,107/952/0328
11275,Beth,Fritzler,"31907, Georgia, Columbus",OFF-AP-10003278,987-425-0812
11290,Beth,Paige...,"19140, Pennsylvania, Philadelphia",OFF-BI-10004632,625|238|4709
11305,Beth,Thompson,"54880, Wisconsin, Superior",OFF-AR-10000203,452-751-1973
11320,Bill,Donatelli,"19143, Pennsylvania, Philadelphia",FUR-CH-10000988,078/863/7125
11335,Bill,..Eplett,"10009, New York, New York City",OFF-PA-10001033,816-342-5388
11350,Bill,Overfelt,"19134, Pennsylvania, Philadelphia",FUR-FU-10004245,
11365,Bill,Shonely,"10011, New York, New York City",FUR-CH-10000988,335-017-2569
11380,Bill,//Stewart,"10011, New York, New York City",OFF-BI-10003718,973|654|1032
11395,Bill,Tyler,"16602, Pennsylvania, Altoona",OFF-AR-10002257,609-786-0296
11410,Bobby,Elias,"33178, Florida, Miami",OFF-PA-10003395,N/a
11425,Bobby,//Odegard,"10024, New York, New York City",OFF-AR-10000817,149/916/8736
11440,Bobby,Trafton,"10035, New York, New York City",FUR-BO-10003272,843-269-4980
11455,Brad,Eason,"2908, Rhode Island, Providence",FUR-CH-10001973,
11470,Brad,Norvell,"19143, Pennsylvania, Philadelphia",OFF-FA-10001229,307-535-2161
11485,Brad,Thomas,"19140, Pennsylvania, Philadelphia",FUR-FU-10001037,899|721|0434
11500,Bradley,Drucker,"23223, Virginia, Richmond",OFF-AP-10001563,
11515,Bradley,Nguyen,"10009, New York, New York City",FUR-FU-10004960,423|253|9025
11530,Bradley,Talbott,"10024, New York, New York City",OFF-ST-10004946,180/804/6532
11545,Brenda,Bowman...,"21044, Maryland, Columbia",FUR-CH-10002331,920-156-3875
11560,Brendan,..Dodson,"22153, Virginia, Springfield",TEC-AC-10000358,647|075|6112
11575,Brendan,1122Murry,"10035, New York, New York City",FUR-BO-10004709,N/a
11590,Brendan,//Sweed,"10011, New York, New York City",OFF-AP-10001962,
11605,Brian,Dahlen,"17602, Pennsylvania, Lancaster",FUR-CH-10000454,N/a
11620,Brian,DeCherney,"10035, New York, New York City",OFF-BI-10001524,474-872-4366
11635,Brian,Derr,"10009, New York, New York City",FUR-CH-10003535,541|386|7928
11650,Brian,Moss,"10009, New York, New York City",OFF-PA-10000357,368-271-4596
11665,Brian,Stugart,"19143, Pennsylvania, Philadelphia",TEC-AC-10000158,024/639/8515
11680,Brian,Thompson,"20735, Maryland, Clinton",FUR-FU-10002918,739-965-2290
